"","RowId","SppId","Origin","PlantedSpp","K1","K2","K3","K4"
"1",1,"BW1","N",NA,0.434549748,0.009105692,0.045680522,1.115471927
"2",2,"PJ1","N",NA,0.454663929,0.017437346,0.00100001,2.478926762
"3",3,"PJ1","P","PJ",0.021907592,0.004771513,0.00100001,0.68523395
"4",4,"PJ2","N",NA,0.54943644,0.004420819,0.00100001,2.694153136
"5",5,"PO1","N",NA,0.528545559,-0.000596516,0.019025432,1.433116122
"6",6,"PR1","N",NA,0.831501003,-0.021431477,0.00100001,2.607854362
"7",7,"PR1","P",NA,1.955764859,0.174969547,0.003318462,1.36620936
"8",8,"PRW","N",NA,0.496328538,0.003637044,0.00100001,2.417514064
"9",9,"PW1","N",NA,0.589653353,-0.009766957,0.00100001,2.953672175
"10",10,"PW1","P",NA,1e-08,0.027921476,0.009043804,1.818508493
"11",11,"SB1","N",NA,0.063405137,0.032130249,0.00100001,2.676445616
"12",12,"SF1","N",NA,1e-08,0.293295263,0.00100001,2.027871358
"13",13,"SP1","N",NA,1e-08,0.039748303,0.067852219,0.803543347
"14",14,"SP1","P","SB",0.745088764,-0.029706778,0.00100001,1.953393706
"15",15,"SP1","P","SW",0.94158504,-0.021303553,0.00100001,1.853710436
"16",16,"PW","N",NA,0.158702367,-0.002971445,0.005298458,2.160504347
"17",17,"PW","P",NA,1e-08,0.011312451,0.00100001,2.312837185
"18",18,"PR","N",NA,6.907667992,-0.147063165,0.00100001,0.943891179
"19",19,"PR","P",NA,1e-08,0.342845716,0.00100001,1.113656265
"20",20,"PJ","N",NA,0.609243854,-0.009031671,0.00100001,1.915251865
"21",21,"PJ","P",NA,0.060024546,0.012370891,0.00100001,1.953641481
"22",22,"SW","P",NA,1.0579898,-0.042435938,0.00100001,1.955839798
"23",23,"SB","N",NA,0.194171125,0.009292537,0.00100001,1.914787562
"24",24,"SB","P",NA,0.10280989,-0.000798013,0.00100001,2.610125895
"25",25,"HE","N",NA,18.19127781,-0.717211283,0.079698078,0.00100001
"26",26,"BF","N",NA,0.353556158,0.009917082,0.00100001,1.909302393
"27",27,"CE","N",NA,1e-08,0.135101265,0.005036049,0.635792991
"28",28,"LA","N",NA,1.540107917,-0.053891021,0.00100001,1.941494768
"29",29,"MS","N",NA,0.118748833,-0.00237525,0.00100001,2.731220153
"30",30,"MH","N",NA,1.300742709,0.038748153,0.029705954,0.00100001
"31",31,"BY","N",NA,0.13152167,-0.002419661,0.00100001,2.622707331
"32",32,"BW","N",NA,0.117350799,0.001034171,0.00100001,2.380567857
"33",33,"OR","N",NA,1e-08,0.103870183,0.001003758,1.133978052
"34",34,"BE","N",NA,29.99419691,-0.716609683,0.003342734,0.00100001
"35",35,"AB","N",NA,1e-08,0.014313937,0.00100001,1.855091808
"36",36,"AW","N",NA,1e-08,1.729320317,0.00426615,0.00100001
"37",37,"PO","N",NA,0.984223244,-0.016611936,0.022340052,0.662135993
"38",38,"SW","N",NA,1.08746132,-0.028560285,0.00100001,1.883188954
"39",39,"BfMx1","N",NA,1e-08,0.026466486,0.027991854,0.73635016
"40",40,"BfPur","N",NA,1e-08,0.026119756,0.003334466,1.347091357
"41",41,"BwDee","N",NA,0.316950543,-0.01338203,0.00100001,2.832956849
"42",42,"ConMx","N",NA,0.216670302,0.00332618,0.00100001,2.051026508
"43",43,"HrDom","N",NA,0.014717101,0.002521522,0.00100001,28.3898212
"44",44,"HrdMw","N",NA,0.428014795,-0.002840895,0.00100001,1.895446316
"45",45,"OCLow","N",NA,0.300763026,0.008793899,0.00100001,1.768840744
"46",46,"PjDee","N",NA,1e-08,0.020091067,0.00100001,1.855407418
"47",47,"PjDee","P",NA,0.021907592,0.004771513,0.00100001,0.68523395
"48",48,"PjMx1","N",NA,1e-08,0.019002403,0.00100001,1.853115114
"49",49,"PjSha","N",NA,0.602394365,-0.00159039,0.00100001,1.741307913
"50",50,"PoDee","N",NA,0.145672659,0.002315623,0.00100001,1.830160562
"51",51,"PrDom","N",NA,1e-08,1.052189528,0.002783389,0.00100001
"52",52,"PrwMx","N",NA,6.198795841,-0.211263733,0.00100001,1.268557442
"53",53,"PwDom","N",NA,2.045149215,0.001856378,0.025827368,0.00100001
"54",54,"SbDee","P",NA,0.745088764,-0.029706778,0.00100001,1.953393706
"55",55,"SbDee","N",NA,1e-08,0.01410654,0.00100001,1.932371763
"56",56,"SbLow","N",NA,0.03223621,0.009477048,0.00100001,1.942953931
"57",57,"SbMx1","N",NA,0.746316309,0.050865614,0.00100001,1.446079338
"58",58,"SbMx1","P",NA,0.94158504,-0.021303553,0.00100001,1.853710436
"59",59,"SbSha","N",NA,0,0,0,0
