"","RowId","SppId","Origin","K1","K2","K3","K4"
"1",1,"PW1","N",0.1414671286,0.0184100756,0.00100001,2.1168752233
"2",2,"PW1","P",0.1414671286,0.0184100756,0.00100001,2.1168752233
"3",3,"PRW","N",1e-08,0.0276191999,0.00100001,1.710309052
"4",4,"PR1","N",1e-08,0.0550233558,0.00100001,1.7058734317
"5",5,"PR1","P",0.0321466942,-0.000426504,0.00100001,1.8786515309
"6",6,"PW","N",0.1414671286,0.0184100756,0.00100001,2.1168752233
"7",7,"PW","P",1e-08,0.0276191999,0.00100001,1.710309052
"8",8,"PR","N",1e-08,0.0550233558,0.00100001,1.7058734317
"9",9,"PR","P",0.0321466942,-0.000426504,0.00100001,1.8786515309
